ENST00000566782.1	ENSG00000261657	SLC25A26
ENST00000364032.1	ENSG00000200902	RNU6-627P
ENST00000487833.2	ENSG00000243521	RPL5P33
ENST00000525556.1	ENSG00000254802	AC022182.3
ENST00000601409.1	ENSG00000268833	AC011513.4
ENST00000441066.1	ENSG00000230973	RP1-154J13.2
ENST00000560103.1	ENSG00000259341	RP11-20G13.1
ENST00000608357.1	ENSG00000273483	RP4-671G15.2
ENST00000402100.1	ENSG00000217083	RP1-245M18.2
ENST00000429636.1	ENSG00000237844	AC092684.1
ENST00000390147.2	ENSG00000211573	AC125238.1
ENST00000420733.1	ENSG00000230132	RP5-1193P9.2
ENST00000434762.2	ENSG00000256049	PADI6
ENST00000470828.1	ENSG00000239926	PRDX3P4
ENST00000438918.1	ENSG00000213925	NPM1P33
ENST00000471472.2	ENSG00000241562	RPL7P5
ENST00000532369.1	ENSG00000255283	RP11-72M10.4
ENST00000364400.1	ENSG00000201270	RNU6-755P
ENST00000599047.1	ENSG00000269119	HNRNPA1P52
ENST00000416056.2	ENSG00000233626	RP11-565J7.1
ENST00000414323.2	ENSG00000235299	MRPL53P1
ENST00000516121.1	ENSG00000251930	U3
ENST00000418091.1	ENSG00000227485	RP11-5P4.2
ENST00000390797.1	ENSG00000212086	AL390119.1
ENST00000384243.1	ENSG00000206970	RNU6-474P
ENST00000373371.3	ENSG00000136856	SLC2A8
ENST00000445305.1	ENSG00000226847	PRPS1P1
ENST00000414949.2	ENSG00000214975	PPIAP29
ENST00000517217.1	ENSG00000253026	RNU6-464P
ENST00000516550.1	ENSG00000252359	SNORD112
ENST00000521088.1	ENSG00000213881	NPM1P6
ENST00000364854.1	ENSG00000201724	Y_RNA
ENST00000225964.5	ENSG00000108821	COL1A1
ENST00000427547.1	ENSG00000229225	RP11-5P4.3
ENST00000425328.1	ENSG00000235951	AC009965.1
ENST00000516941.1	ENSG00000252750	RNU7-70P
ENST00000407803.1	ENSG00000219074	SOD1P1
ENST00000408764.1	ENSG00000221691	AC090825.2
ENST00000457106.1	ENSG00000224702	RP11-38C18.2
ENST00000323109.9	ENSG00000196610	HLA-DQB2
ENST00000434048.1	ENSG00000164740	SEPT7P5
ENST00000512554.1	ENSG00000248651	GCSHP1
ENST00000459345.1	ENSG00000238975	snoU13
ENST00000356815.3	ENSG00000206177	HBM
ENST00000381884.4	ENSG00000151849	CENPJ
ENST00000440076.1	ENSG00000229641	CYP2C56P
ENST00000455038.1	ENSG00000203605	RP11-335E6.2
ENST00000439964.1	ENSG00000226756	AC007365.3
ENST00000390885.1	ENSG00000212187	SNORA26
ENST00000421943.1	ENSG00000225075	RP11-426L16.3
ENST00000521378.1	ENSG00000254222	RP11-787D18.2
ENST00000390598.2	ENSG00000211938	IGHV3-7
ENST00000473434.1	ENSG00000226017	PRICKLE2-AS3
ENST00000516037.1	ENSG00000251846	SNORD36
ENST00000584676.1	ENSG00000265349	RP11-55L4.2
ENST00000327274.7	ENSG00000220749	RPL21P28
ENST00000532111.1	ENSG00000254423	RP11-351I21.7
ENST00000593354.1	ENSG00000267839	AC020956.3
ENST00000526238.1	ENSG00000255110	RP11-72M10.8
ENST00000606385.1	ENSG00000272053	RP11-367G6.3
ENST00000447183.2	ENSG00000271593	RP11-335E6.4
ENST00000566195.1	ENSG00000261595	RP11-426L16.9
ENST00000341853.1	ENSG00000182397	DNM1P46
ENST00000518064.1	ENSG00000253711	RP11-787D18.1
ENST00000295408.4	ENSG00000153208	MERTK
ENST00000416263.3	ENSG00000229980	TOB1-AS1
ENST00000457537.1	ENSG00000228645	PHKG1P2
ENST00000572923.1	ENSG00000262296	RP11-55L4.1
ENST00000581574.1	ENSG00000264074	AC110086.1
ENST00000394808.2	ENSG00000218713	RP1-34L19.1
ENST00000515933.1	ENSG00000251742	RN7SKP13
ENST00000533055.1	ENSG00000254696	RP11-72M10.7
ENST00000507027.1	ENSG00000250048	LINC00603
ENST00000526502.2	ENSG00000255556	RP11-351I21.6
ENST00000602322.1	ENSG00000269939	RP11-727A23.11
ENST00000485770.1	ENSG00000243993	RP11-14D22.2
ENST00000597630.1	ENSG00000268041	CTD-2575K13.6
ENST00000441773.1	ENSG00000238022	RP11-38C18.3
ENST00000458353.1	ENSG00000234790	RP11-426L16.7
ENST00000411436.1	ENSG00000234714	AC009965.2
ENST00000402854.2	ENSG00000220517	ASS1P1
ENST00000428806.2	ENSG00000227791	AC007365.4
ENST00000583151.1	ENSG00000265593	NPM1P45
ENST00000516450.1	ENSG00000252259	RNA5SP49
ENST00000438219.1	ENSG00000235802	HCFC1-AS1
ENST00000417151.1	ENSG00000224331	AC019181.3
ENST00000569175.2	ENSG00000261731	CTD-2358C21.4
ENST00000406097.2	ENSG00000219302	RP11-174C7.3
ENST00000430344.1	ENSG00000236785	AC007248.7
ENST00000408559.1	ENSG00000221486	AC000003.1
ENST00000390599.2	ENSG00000211939	IGHV1-8
ENST00000577243.1	ENSG00000264358	MIR3122
ENST00000482450.2	ENSG00000242296	DEFB109P1
ENST00000392932.4	ENSG00000182217	HIST2H4B
ENST00000533906.1	ENSG00000255541	RP11-727A23.8
ENST00000455304.2	ENSG00000224209	LINC00466
ENST00000505635.1	ENSG00000251158	RP11-98J23.1
ENST00000570073.2	ENSG00000259810	AC002519.8
ENST00000517070.1	ENSG00000252879	RN7SKP98
ENST00000609978.1	ENSG00000227678	RP11-73O6.3
ENST00000581495.1	ENSG00000264764	MIR4772
ENST00000530412.1	ENSG00000166007	TRIM51HP
ENST00000215855.2	ENSG00000100053	CRYBB3
ENST00000519669.1	ENSG00000254285	KRT8P3
ENST00000507275.1	ENSG00000249668	KRT18P56
ENST00000419860.1	ENSG00000237271	AC009498.1
ENST00000384181.1	ENSG00000206908	RNU1-136P
ENST00000602981.1	ENSG00000270074	LINC00965
ENST00000444750.1	ENSG00000229983	RP11-15I11.2
ENST00000272520.3	ENSG00000144119	C1QL2
ENST00000436582.1	ENSG00000236525	AC007278.2
ENST00000504749.1	ENSG00000214660	SLC29A4P2
ENST00000402555.2	ENSG00000219163	HMGB1P20
ENST00000315302.2	ENSG00000177822	AC108142.1
ENST00000531869.1	ENSG00000254551	RP11-727A23.7
ENST00000465067.2	ENSG00000244618	RN7SL334P
ENST00000427921.1	ENSG00000236681	DSTNP5
ENST00000528404.2	ENSG00000251402	FAM90A25P
ENST00000517273.1	ENSG00000253082	AC007365.2
ENST00000577460.1	ENSG00000266556	AL137251.1
ENST00000568379.1	ENSG00000260722	VN1R67P
ENST00000450893.1	ENSG00000234389	AC007278.3
ENST00000502492.1	ENSG00000159210	SNF8
ENST00000594531.1	ENSG00000268525	CTB-59C6.3
ENST00000580198.1	ENSG00000265176	MIR3202-1
ENST00000431307.1	ENSG00000226251	RP11-15I11.3
ENST00000579080.1	ENSG00000264056	MIR5685
ENST00000414976.1	ENSG00000230848	RP11-379C10.1
ENST00000428903.1	ENSG00000229313	RP3-425P12.5
ENST00000465924.2	ENSG00000239891	RN7SL341P
ENST00000401018.1	ENSG00000215866	RP11-426L16.8
ENST00000365568.1	ENSG00000202438	Y_RNA
ENST00000447987.1	ENSG00000236757	AC007251.2
ENST00000508437.1	ENSG00000250585	LINC00604
ENST00000507952.1	ENSG00000250959	GLUD1P3
ENST00000406501.1	ENSG00000217527	RPS16P5
ENST00000410966.1	ENSG00000222898	RN7SKP97
ENST00000363094.1	ENSG00000199964	Y_RNA
ENST00000454262.2	ENSG00000229923	RP11-102N11.1
ENST00000416595.1	ENSG00000223623	RP3-425P12.1
ENST00000425086.1	ENSG00000225304	AC106901.1
ENST00000438275.1	ENSG00000237463	RP11-280O1.2
ENST00000583453.1	ENSG00000264408	MIR4470
ENST00000567043.2	ENSG00000261457	AC002519.6
ENST00000504393.1	ENSG00000249230	CDH12P2
ENST00000527895.1	ENSG00000254887	CTC-378H22.1
ENST00000458667.1	ENSG00000230663	FAM224B
ENST00000568290.1	ENSG00000261372	RP11-529H20.6
ENST00000417666.1	ENSG00000223566	TNRC18P2
ENST00000393845.2	ENSG00000206530	WDR52
ENST00000435741.1	ENSG00000231514	FAM58CP
ENST00000390190.2	ENSG00000211524	MIR718
ENST00000431897.1	ENSG00000224095	AC108051.1
ENST00000362491.1	ENSG00000199361	RNU1-150P
ENST00000445865.1	ENSG00000234572	AC007880.1
ENST00000577599.1	ENSG00000266704	MIR4498
ENST00000407765.1	ENSG00000218857	RP1-209B5.2
ENST00000449140.2	ENSG00000228734	RP11-335E6.3
ENST00000431853.1	ENSG00000235857	CTBP2P1
ENST00000583717.1	ENSG00000265615	AC108105.1
ENST00000424868.1	ENSG00000230372	RP3-425P12.2
ENST00000583618.1	ENSG00000263421	MIR4687
ENST00000505627.2	ENSG00000251127	RP11-280G9.1
ENST00000515046.2	ENSG00000250794	ALG1L12P
ENST00000516506.1	ENSG00000252315	RNA5SP520
ENST00000362682.1	ENSG00000199552	SNORA63
ENST00000444017.1	ENSG00000236634	AC016903.1
ENST00000308739.6	ENSG00000230593	AC090804.1
ENST00000446275.1	ENSG00000234758	AC034228.4
ENST00000429660.1	ENSG00000223683	AL138935.1
ENST00000582675.1	ENSG00000263913	AC004812.1
ENST00000391265.1	ENSG00000212567	SNORA57
ENST00000605281.1	ENSG00000271367	RP3-483K16.4
ENST00000446847.1	ENSG00000230063	RP11-384C4.6
ENST00000558190.1	ENSG00000259634	RP11-529H20.5
ENST00000453870.1	ENSG00000230536	RP11-379C10.4
ENST00000390994.1	ENSG00000212296	SNORD72
ENST00000516203.1	ENSG00000252012	RNA5SP521
ENST00000456384.1	ENSG00000237843	AC016903.2
ENST00000384142.1	ENSG00000206869	SNORA70F
ENST00000598486.1	ENSG00000219863	RPL31P28
ENST00000365276.1	ENSG00000202146	Y_RNA
ENST00000456651.1	ENSG00000224167	RP3-522D1.1
ENST00000433825.1	ENSG00000231830	XX-FW83128A1.2
ENST00000506922.1	ENSG00000250114	CTB-95B16.1
ENST00000517289.1	ENSG00000253098	RNU7-161P
ENST00000296577.4	ENSG00000164163	ABCE1
ENST00000395058.3	ENSG00000223890	AC008171.1
ENST00000384249.1	ENSG00000206976	SNORA7
ENST00000442146.1	ENSG00000234915	RP11-384C4.7
ENST00000414885.1	ENSG00000233255	AC019181.2
ENST00000508564.1	ENSG00000250742	RP11-834C11.4
ENST00000504890.1	ENSG00000248120	RP11-301A5.2
ENST00000584813.1	ENSG00000265577	RN7SL9P
ENST00000529141.1	ENSG00000255232	RP11-438N5.4
ENST00000307271.3	ENSG00000171115	GIMAP8
ENST00000422884.1	ENSG00000235316	DUSP8P5
ENST00000521666.1	ENSG00000251018	RP11-80G7.1
ENST00000435291.1	ENSG00000227680	AC108051.2
ENST00000596616.1	ENSG00000225216	AC007362.3
ENST00000362638.1	ENSG00000199508	RNA5SP110
ENST00000416139.1	ENSG00000225338	RP11-384C4.3
ENST00000504215.1	ENSG00000251478	CTD-2122P11.1
ENST00000416137.1	ENSG00000228040	RP3-522D1.2
ENST00000535200.1	ENSG00000255857	PXN-AS1
ENST00000582929.1	ENSG00000266226	MIR4323
ENST00000511830.2	ENSG00000179978	RP11-1319K7.1
ENST00000411386.1	ENSG00000223318	RNA5SP111
ENST00000602441.1	ENSG00000270050	RP4-769N13.7
ENST00000370527.3	ENSG00000174407	C20orf166
ENST00000368887.3	ENSG00000179988	PSTK
ENST00000602939.1	ENSG00000269988	RP11-395P17.11
ENST00000529475.1	ENSG00000255141	HNRNPA1P76
ENST00000459555.1	ENSG00000238368	snoU13
ENST00000564380.1	ENSG00000260470	RP11-834C11.11
ENST00000516547.1	ENSG00000252356	SNORD112
ENST00000579120.1	ENSG00000266487	RN7SL855P
ENST00000431341.1	ENSG00000236283	AC013463.2
ENST00000364674.1	ENSG00000201544	SNORA16B
ENST00000441321.1	ENSG00000233741	AC016691.2
ENST00000424244.1	ENSG00000223548	AC034228.3
ENST00000519990.1	ENSG00000254119	RP11-705O24.1
ENST00000330436.3	ENSG00000197838	CYP2A13
ENST00000578980.1	ENSG00000265214	MIR4283-1
ENST00000446931.2	ENSG00000227211	RP5-1100E15.4
ENST00000559786.1	ENSG00000259436	CTC-378H22.2
ENST00000551732.1	ENSG00000257534	RP11-834C11.10
ENST00000447949.1	ENSG00000229832	RP11-384C4.2
ENST00000418244.1	ENSG00000230798	RP4-792G4.2
ENST00000315950.4	ENSG00000180672	AC007362.1
ENST00000460134.2	ENSG00000229020	AKR7A2P1
ENST00000407447.1	ENSG00000218049	RPL31P33
ENST00000520558.1	ENSG00000224012	RP11-756G12.1
ENST00000523818.1	ENSG00000254075	IGLVV-66
ENST00000580629.1	ENSG00000264047	RN7SL455P
ENST00000439570.1	ENSG00000224535	RP11-61J19.2
ENST00000377989.4	ENSG00000168405	CMAHP
ENST00000517313.1	ENSG00000254161	IGLVIV-65
ENST00000453878.1	ENSG00000224850	AC108051.3
ENST00000372387.1	ENSG00000204049	AL391421.1
ENST00000398215.2	ENSG00000244752	CRYBB2
ENST00000402839.1	ENSG00000218261	RP11-96J19.1
ENST00000418747.1	ENSG00000234771	RP11-395P17.3
ENST00000435438.1	ENSG00000233204	MAPRE1P3
ENST00000455707.1	ENSG00000224789	AC012363.4
ENST00000605511.1	ENSG00000271338	RP11-96J19.4
ENST00000580058.1	ENSG00000265826	AC087203.1
ENST00000583464.1	ENSG00000265122	AC010247.1
ENST00000504210.1	ENSG00000248576	RP11-834C11.8
ENST00000423842.1	ENSG00000228067	RP11-61J19.3
ENST00000432558.1	ENSG00000231585	AC034228.2
ENST00000365005.1	ENSG00000201875	RN7SKP178
ENST00000516485.1	ENSG00000252294	RNU6-589P
ENST00000448964.1	ENSG00000230748	RP11-541H12.1
ENST00000518581.1	ENSG00000253242	IGLVIV-64
ENST00000516189.1	ENSG00000251998	RNU6-168P
ENST00000428411.1	ENSG00000226419	SLC16A1-AS1
ENST00000458609.2	ENSG00000213739	AC007679.1
ENST00000529817.2	ENSG00000255549	ENPP7P6
ENST00000524045.2	ENSG00000251003	RP11-152P17.2
ENST00000422683.1	ENSG00000229209	AC073987.1
ENST00000431635.2	ENSG00000117395	EBNA1BP2
ENST00000604911.1	ENSG00000271679	CTB-107P3.1
ENST00000585556.1	ENSG00000161572	LYZL6
ENST00000425555.1	ENSG00000235653	AC007253.1
ENST00000412449.1	ENSG00000224555	RP11-438N5.2
ENST00000402896.2	ENSG00000219776	RPL21P67
ENST00000517201.1	ENSG00000253010	RN7SKP256
ENST00000425688.1	ENSG00000235192	AC009495.2
ENST00000449259.1	ENSG00000237638	AC007386.2
ENST00000383239.4	ENSG00000206299	TAP2
ENST00000524184.1	ENSG00000253752	IGLVI-63
ENST00000365176.1	ENSG00000202046	Y_RNA
ENST00000443009.2	ENSG00000237783	RP11-306I1.1
ENST00000605855.1	ENSG00000271373	NANOGP3
ENST00000457234.2	ENSG00000213904	LIPE-AS1
ENST00000516975.1	ENSG00000252784	Y_RNA
ENST00000445926.1	ENSG00000236878	AC012363.7
ENST00000517258.1	ENSG00000253067	snoZ6
ENST00000428888.1	ENSG00000229195	AC009495.4
ENST00000260442.3	ENSG00000137875	BCL2L10
ENST00000564287.1	ENSG00000260805	RP11-61J19.4
ENST00000369155.2	ENSG00000184678	HIST2H2BE
ENST00000485246.2	ENSG00000244534	RN7SL211P
ENST00000433830.1	ENSG00000227623	AC073987.2
ENST00000518003.1	ENSG00000253823	IGLV1-62
ENST00000455736.1	ENSG00000236674	RP4-792G4.3
ENST00000422184.1	ENSG00000234163	RP11-479G22.6
ENST00000420187.1	ENSG00000233128	AC007317.1
ENST00000564712.1	ENSG00000261677	PTPLA
ENST00000408307.1	ENSG00000221234	AC009495.1
ENST00000458947.1	ENSG00000238696	snoU13
ENST00000422116.1	ENSG00000225610	AC007679.3
ENST00000422058.1	ENSG00000230320	RP4-769N13.2
ENST00000452618.1	ENSG00000236206	RP11-306I1.2
ENST00000251595.6	ENSG00000188536	HBA2
ENST00000390776.2	ENSG00000212065	AL591034.1
ENST00000455212.1	ENSG00000227394	AC007386.3
ENST00000457108.1	ENSG00000232411	AC009495.3
ENST00000489592.1	ENSG00000240385	RPS29P20
ENST00000521805.1	ENSG00000253331	CTC-207P7.1
ENST00000426849.1	ENSG00000227616	AC063976.1
ENST00000444224.1	ENSG00000225741	LL22NC03-88E1.17
ENST00000578962.1	ENSG00000264590	RN7SL512P
ENST00000315947.1	ENSG00000176294	OR4N2
ENST00000508884.1	ENSG00000249379	RP1-27K12.4
ENST00000510509.1	ENSG00000248668	OXCT1-AS1
ENST00000516676.1	ENSG00000252485	Vault
ENST00000451149.1	ENSG00000236066	RP11-389O22.1
ENST00000427949.1	ENSG00000235862	RP11-338C15.5
ENST00000384263.1	ENSG00000206990	Y_RNA
ENST00000539163.1	ENSG00000272214	AC079602.1
ENST00000384849.1	ENSG00000207581	MIR199B
ENST00000440974.1	ENSG00000227788	AC012363.8
ENST00000602979.1	ENSG00000270154	RP11-419I17.1
ENST00000436302.2	ENSG00000146856	AGBL3
ENST00000333131.4	ENSG00000182502	ABHD17AP5
ENST00000517935.1	ENSG00000253492	CDH12P3
ENST00000384656.1	ENSG00000207386	Y_RNA
ENST00000384436.1	ENSG00000207165	SNORA70
ENST00000529323.1	ENSG00000255276	RRM1-AS1
ENST00000520870.1	ENSG00000253526	RP11-152P17.3
ENST00000327669.4	ENSG00000184731	FAM110C
ENST00000447545.1	ENSG00000230175	RP11-466F5.3
ENST00000568732.1	ENSG00000260533	NRBP2
ENST00000557959.1	ENSG00000259655	CTD-2054N24.1
ENST00000398015.3	ENSG00000154928	EPHB1
ENST00000577829.1	ENSG00000264823	MIR3154
ENST00000517083.1	ENSG00000252892	RNU6-548P
ENST00000417339.1	ENSG00000224109	CENPVP3
ENST00000585186.1	ENSG00000264271	RN7SL488P
ENST00000434035.1	ENSG00000237041	AC007679.4
ENST00000360656.1	ENSG00000197180	BX936347.1
ENST00000522426.1	ENSG00000253538	CTB-32P11.1
ENST00000440322.1	ENSG00000224490	TTC21B-AS1
ENST00000439577.1	ENSG00000227751	RP1-20B21.4
ENST00000367837.5	ENSG00000112339	HBS1L
ENST00000421157.1	ENSG00000238198	RP11-31F15.2
ENST00000344754.4	ENSG00000088827	SIGLEC1
ENST00000418718.1	ENSG00000231548	OR55B1P
ENST00000515911.1	ENSG00000251720	RNU7-123P
ENST00000456479.1	ENSG00000226036	RP11-338C15.2
ENST00000415327.1	ENSG00000232613	AC007386.4
ENST00000582532.1	ENSG00000264783	BX664739.1
ENST00000393110.2	ENSG00000115107	STEAP3
ENST00000491883.1	ENSG00000227997	CENPVP2
ENST00000452488.1	ENSG00000237442	HNRNPA1P57
ENST00000364757.1	ENSG00000201627	Y_RNA
ENST00000440496.1	ENSG00000223546	LINC00630
ENST00000450967.1	ENSG00000233286	MTND3P10
ENST00000427891.2	ENSG00000237278	RLIMP2
ENST00000489463.2	ENSG00000244256	RN7SL130P
ENST00000440950.1	ENSG00000236596	AC092568.1
ENST00000582484.1	ENSG00000264484	RN7SL697P
ENST00000583469.1	ENSG00000266727	AC004824.1
ENST00000525365.1	ENSG00000254480	RP11-23F23.2
ENST00000506846.3	ENSG00000213708	SLC16A14P1
ENST00000602548.1	ENSG00000223591	CENPVP1
ENST00000253754.3	ENSG00000131435	PDLIM4
ENST00000418154.1	ENSG00000177452	RP4-597J3.1
ENST00000581854.1	ENSG00000264631	RN7SL742P
ENST00000443431.1	ENSG00000234839	RPS26P30
ENST00000458798.1	ENSG00000239020	snoU13
ENST00000331723.1	ENSG00000182652	OR4Q3
ENST00000582819.1	ENSG00000265319	RN7SL847P
ENST00000502390.1	ENSG00000231683	RP1-27K12.2
ENST00000516751.1	ENSG00000252560	RNU4-18P
ENST00000567614.1	ENSG00000261773	WI2-89031B12.1
ENST00000508650.2	ENSG00000254701	RP11-1415C14.4
ENST00000437709.2	ENSG00000225272	RP11-466F5.4
ENST00000430540.1	ENSG00000236648	RP11-473A10.2
ENST00000408370.1	ENSG00000221297	AL590708.1
ENST00000446962.1	ENSG00000237980	RP11-338C15.3
ENST00000429373.1	ENSG00000231342	ATF4P2
ENST00000401879.2	ENSG00000216917	RP5-988G15.1
ENST00000420509.1	ENSG00000227946	AC007383.3
ENST00000422654.1	ENSG00000236576	RP11-22B10.3
ENST00000467147.2	ENSG00000243633	RN7SL542P
ENST00000608252.1	ENSG00000272960	RP11-339B21.15
ENST00000569711.1	ENSG00000261781	RP11-174G17.2
ENST00000494052.2	ENSG00000240281	CTD-2062O1.1
ENST00000440942.1	ENSG00000228056	CFL1P3
ENST00000517318.1	ENSG00000254021	RP11-778D12.2
ENST00000441884.1	ENSG00000232155	AF277315.19
ENST00000608093.1	ENSG00000273281	RP11-339B21.14
ENST00000418822.1	ENSG00000180663	VN1R3
ENST00000315957.4	ENSG00000176299	OR4M1
ENST00000441309.1	ENSG00000225308	ASS1P11
ENST00000384760.1	ENSG00000207491	RNU6-423P
ENST00000400982.2	ENSG00000215838	RP11-466F5.6
ENST00000443279.1	ENSG00000213338	ATF4P1
ENST00000435012.1	ENSG00000238191	CLUHP1
ENST00000528172.1	ENSG00000255387	RP11-23F23.3
ENST00000419667.2	ENSG00000230035	RP11-174G17
ENST00000516568.1	ENSG00000252377	RNU6-504P
ENST00000449334.2	ENSG00000236905	RP11-348H3.2
ENST00000421971.1	ENSG00000235775	AC063976.2
ENST00000609315.1	ENSG00000272696	RP11-339B21.13
ENST00000521369.2	ENSG00000254615	RP11-395G23.3
ENST00000372371.3	ENSG00000148606	POLR3A
ENST00000290551.4	ENSG00000159388	BTG2
ENST00000428250.1	ENSG00000228827	RP11-234P3.2
ENST00000457890.1	ENSG00000224015	AC063976.3
ENST00000350030.3	ENSG00000132780	NASP
ENST00000448601.1	ENSG00000236118	LL22NC03-30E12.10
ENST00000453039.1	ENSG00000231955	AC007383.4
ENST00000453062.1	ENSG00000224882	IKBKGP1
ENST00000457967.1	ENSG00000233839	RP11-389O22.4
ENST00000420211.1	ENSG00000225387	RP11-422P22.1
ENST00000569805.2	ENSG00000261284	RBM22P13
ENST00000532495.1	ENSG00000237565	SSU72P5
ENST00000486913.3	ENSG00000241956	CTC-340A15.2
ENST00000298642.2	ENSG00000165762	OR4K2
ENST00000440562.1	ENSG00000233720	LL22NC03-30E12.11
ENST00000313543.4	ENSG00000179144	GIMAP7
ENST00000418898.1	ENSG00000221849	AC018880.1
ENST00000408445.1	ENSG00000221372	AC010739.1
ENST00000441355.1	ENSG00000235282	RP1-8B22.1
ENST00000431120.1	ENSG00000237580	GCSHP3
ENST00000580314.1	ENSG00000266807	MIR548H5
ENST00000607595.1	ENSG00000272025	SNORA74
ENST00000537115.1	ENSG00000255194	SSU72P2
ENST00000516472.1	ENSG00000252281	snoZ247
ENST00000442890.1	ENSG00000227710	LL22NC03-30E12.13
ENST00000462651.2	ENSG00000241588	RN7SL484P
ENST00000331380.2	ENSG00000184260	HIST2H2AC
ENST00000323496.5	ENSG00000223551	TMSB4XP4
ENST00000384461.1	ENSG00000207190	RNU6-809P
ENST00000407837.2	ENSG00000219532	RP3-323K23.3
ENST00000608512.1	ENSG00000273365	RP11-466F5.10
ENST00000393177.3	ENSG00000172974	AC007318.5
ENST00000447809.2	ENSG00000236107	AC010127.3
ENST00000448312.2	ENSG00000236090	LDHAP3
ENST00000518591.1	ENSG00000253582	RP11-649G15.2
ENST00000408584.1	ENSG00000221511	AC090825.1
ENST00000363638.1	ENSG00000200508	Y_RNA
ENST00000408787.2	ENSG00000221714	AC130352.1
ENST00000423121.1	ENSG00000224358	RP11-466F5.8
ENST00000384320.2	ENSG00000207047	SNORD51
ENST00000458366.1	ENSG00000224465	SOCS2P2
ENST00000383194.4	ENSG00000206279	DAXX
ENST00000315915.4	ENSG00000176281	OR4K5
ENST00000426161.1	ENSG00000198468	FLVCR1-AS1
ENST00000528696.3	ENSG00000254744	CTD-3076O17.1
ENST00000475442.1	ENSG00000239694	CTD-2156G10.1
ENST00000483613.1	ENSG00000242607	RPS3AP34
ENST00000516229.1	ENSG00000252038	AC068704.1
ENST00000372289.2	ENSG00000178028	DMAP1
ENST00000424995.1	ENSG00000223949	RP11-24J23.2
ENST00000417667.1	ENSG00000237714	P4HA2-AS1
ENST00000524097.1	ENSG00000253676	TAGLN2P1
ENST00000384675.1	ENSG00000207406	SNORA41
ENST00000532644.1	ENSG00000236175	SSU72P6
ENST00000518489.1	ENSG00000253834	RP11-705O24.3
ENST00000402859.2	ENSG00000100068	LRP5L
ENST00000415894.1	ENSG00000230659	RP11-466F5.9
ENST00000520218.1	ENSG00000254308	IGLVIV-59
ENST00000410564.1	ENSG00000222496	RN7SKP200
ENST00000565101.1	ENSG00000260045	STAM
ENST00000412567.1	ENSG00000236887	RP11-389O22.5
ENST00000414265.1	ENSG00000231723	AC018880.2
ENST00000458954.1	ENSG00000238460	AC068587.2
ENST00000255688.3	ENSG00000133321	RARRES3
ENST00000519215.1	ENSG00000254120	RP11-705O24.2
ENST00000520445.1	ENSG00000253637	IGLVV-58
ENST00000353977.2	ENSG00000195024	RNU1-15P
ENST00000445875.1	ENSG00000159186	AC007383.6
ENST00000530088.1	ENSG00000186223	SSU72P4
ENST00000450125.2	ENSG00000225478	RP1-8B22.2
ENST00000516083.1	ENSG00000251892	RNU7-84P
ENST00000285600.4	ENSG00000155249	OR4K1
ENST00000533893.1	ENSG00000255122	RP11-303G3.6
ENST00000331128.3	ENSG00000184270	HIST2H2AB
ENST00000364025.1	ENSG00000200895	RN7SKP245
ENST00000370520.3	ENSG00000167046	RP11-93B14.6
ENST00000609303.1	ENSG00000272593	RP11-339B21.11
ENST00000419244.2	ENSG00000232693	AC012370.2
ENST00000520062.1	ENSG00000254146	HMGB1P46
ENST00000432247.1	ENSG00000235182	RP11-348H3.4
ENST00000440420.1	ENSG00000229949	AC005094.2
ENST00000442033.1	ENSG00000226141	AF277315.13
ENST00000455257.2	ENSG00000236364	RP11-525G13.2
ENST00000414823.1	ENSG00000236533	AC009413.2
ENST00000334468.1	ENSG00000186232	SSU72P3
ENST00000455305.1	ENSG00000237115	RP1-131F15.2
ENST00000425667.1	ENSG00000224431	AC063976.7
ENST00000331105.2	ENSG00000197446	CYP2F1
ENST00000458774.1	ENSG00000238813	Y_RNA
ENST00000431230.1	ENSG00000236323	BMP6P1
ENST00000438508.1	ENSG00000224070	HMGN1P6
ENST00000422630.1	ENSG00000236317	RP11-348H3.5
ENST00000605867.1	ENSG00000271527	RP11-7G12.2
ENST00000390706.1	ENSG00000211995	AP000428.1
ENST00000410444.1	ENSG00000222376	RN7SKP152
ENST00000458856.1	ENSG00000238653	RNU7-62P
ENST00000522049.1	ENSG00000253544	RP11-705O24.4
ENST00000455480.2	ENSG00000111271	ACAD10
ENST00000305051.5	ENSG00000169488	OR4K15
ENST00000458755.1	ENSG00000238662	snoU13
ENST00000511282.2	ENSG00000251007	RP11-1415C14.1
ENST00000582305.1	ENSG00000264470	MIR4794
ENST00000507497.2	ENSG00000248838	PGAM1P13
ENST00000478386.1	ENSG00000244289	RPS3AP35
ENST00000516907.1	ENSG00000252716	RN7SKP260
ENST00000559400.1	ENSG00000259219	CTD-3076O17.2
ENST00000521342.1	ENSG00000253126	IGLVI-56
ENST00000454596.1	ENSG00000236673	RP11-69I8.2
ENST00000532284.1	ENSG00000229542	SSU72P7
ENST00000444526.1	ENSG00000225182	AC092601.1
ENST00000420063.2	ENSG00000180105	AC017081.2
ENST00000459100.1	ENSG00000238323	AC068587.1
ENST00000437536.1	ENSG00000237619	OR3B1P
ENST00000577305.1	ENSG00000265606	MIR4695
ENST00000520107.1	ENSG00000253935	IGLVIV-53
ENST00000422100.1	ENSG00000226292	RP11-7G12.1
ENST00000448327.1	ENSG00000235899	RP11-345L23.1
